work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employment_type_encoded,company_location_encoded,salary_scaled,work_year_scaled,salary_minmax,work_year_minmax,salary_normalized,work_year_normalized,salary_robust_scaled,salary_transformed
2024,SE,FT,AI Engineer,202730,USD,202730,US,0,US,M,2.0,74,0.1146489073662139,1.0835243758829431,0.00621108405186599,1.0,0.9999501663709291,0.009983224666969668,0.7084752507695729,0.7662040966434154
2024,SE,FT,AI Engineer,92118,USD,92118,US,0,US,M,2.0,74,-0.21049358957594175,1.0835243758829431,0.002570854999012703,1.0,0.9997587069519245,0.021966517107087597,-0.5861863127216546,-0.7370827214071041
2024,SE,FT,Data Engineer,130500,USD,130500,US,0,US,M,2.0,74,-0.09767021311015306,1.0835243758829431,0.003834002501151846,1.0,0.9998797481809211,0.015507713489028232,-0.13694301063941852,-0.06506053759178868
2024,SE,FT,Data Engineer,96000,USD,96000,US,0,US,M,2.0,74,-0.19908250241424638,1.0835243758829431,0.0026986112025274797,1.0,0.9997778205952509,0.021078649050883205,-0.540749324063345,-0.6567507872035977
2024,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,M,2.0,74,0.07722924235632672,1.0835243758829431,0.005792141117619956,1.0,0.9999432655487838,0.010652027207740727,0.559476573381556,0.6451145528338231
2024,SE,FT,Machine Learning Engineer,160000,USD,160000,US,0,US,M,2.0,74,-0.010955357038537034,1.0835243758829431,0.004804844336207464,1.0,0.9999199983514199,0.012648987979145461,0.20834064866509827,0.32209086416845256
2024,MI,FT,ML Engineer,400000,USD,400000,US,0,US,M,2.0,74,0.694521438120373,1.0835243758829431,0.012703218587507404,1.0,0.9999871984458238,0.0050599352241358685,3.01742804639676,2.0089016541130587
2024,MI,FT,ML Engineer,65000,USD,65000,US,0,US,M,2.0,74,-0.2902065884556056,1.0835243758829431,0.0016784045284012374,1.0,0.9995155503712032,0.03112337652232793,-0.9035897796036846,-1.423161581320093
2024,EN,FT,Data Analyst,101520,USD,101520,US,0,US,M,2.0,74,-0.18285653612559144,1.0835243758829431,0.002880273810307378,1.0,0.9998013180756216,0.019932997121602226,-0.4761403139155167,-0.5482444672428499
2024,EN,FT,Data Analyst,45864,USD,45864,US,0,US,M,2.0,74,-0.34645660492294267,1.0835243758829431,0.001048640821430922,1.0,0.9990276706668164,0.04408756334880596,-1.127567681449489,-2.1228816038813907
2024,SE,FT,Data Engineer,172469,USD,172469,US,0,US,M,2.0,74,0.02569710195661484,1.0835243758829431,0.0052151977884552095,1.0,0.9999311468086741,0.01173463428871714,0.35428444350808197,0.4635334000945747
2024,SE,FT,Data Engineer,114945,USD,114945,US,0,US,M,2.0,74,-0.1433939278963899,1.0835243758829431,0.0033220891199894687,1.0,0.9998450077888928,0.017605692250769665,-0.31900698760490187,-0.3084173933419177
